Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
414142,416866,-1.787536,53.648105,13,3,2,1,06-11-14,5,15:20,203,E08000034,3,62,3,40,9,2,3,629,0,0,1,1,1,0,0,1,1,E01011236
531510,172970,-0.109205,51.440411,1,3,2,1,19-04-14,7,9:55,9,E09000022,3,205,6,30,3,4,3,205,0,0,1,1,1,0,0,1,1,E01003174
531580,184770,-0.103802,51.546438,1,2,1,1,15-07-14,3,0:35,3,E09000019,3,1,6,30,8,4,6,0,0,4,4,1,1,0,6,1,1,E01002795
530060,179620,-0.12761,51.500508,1,3,2,2,20-08-14,4,19:00,1,E09000033,3,302,1,30,1,4,3,302,0,0,1,1,1,0,0,1,2,E01004733
488795,156074,-0.727814,51.296823,45,3,2,1,13-01-14,2,10:30,515,E10000030,4,3411,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01030770
529555,109108,-0.160292,50.866902,47,3,3,2,03-07-14,5,10:19,565,E06000043,3,27,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01016998
511104,429699,-0.31647,53.751817,16,3,3,2,08-12-14,2,15:13,228,E06000010,3,165,6,30,6,2,4,1033,0,5,1,1,2,0,0,1,1,E01012810
484025,166015,-0.79387,51.386915,43,2,4,2,27-02-14,5,18:51,470,E06000036,6,7002,6,40,8,4,6,0,0,0,4,1,1,0,0,2,1,E01016213
360033,388022,-2.602404,53.387507,7,3,2,1,27-12-14,7,19:00,128,E06000007,6,0,6,30,3,4,3,5061,0,0,4,1,4,0,0,1,1,E01033302
324038,190561,-3.098382,51.608692,61,3,1,1,10-12-14,4,19:05,731,W06000018,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,W01001409
529730,178440,-0.132795,51.48998,1,3,2,2,09-12-14,3,7:35,1,E09000033,3,202,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01004737
540938,155240,0.019339,51.278819,45,3,1,1,26-05-14,2,16:30,516,E10000030,6,446,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,2,E01032571
529980,167360,-0.133262,51.390347,1,3,2,1,13-09-14,7,15:00,20,E09000008,3,236,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004076
535210,197520,-0.046572,51.660156,1,3,2,1,15-08-14,6,9:08,32,E09000010,3,1010,6,30,3,4,6,0,0,8,1,1,1,0,0,1,1,E01001439
486485,300615,-0.724603,52.596428,33,3,2,2,19-04-14,7,14:30,368,E06000017,3,47,1,60,1,4,3,6003,0,0,1,1,1,0,0,2,1,E01013787
